monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
Neugal At D/S Thural,2609,32.019593,76.4548985,"neugal thural, Himachal Pradesh, India",True
Baspa At U/S Reservoir Baspa Project,2612,31.9901471,76.8072656,"project, Himachal Pradesh, India",True
1556,GEN-4E9CEC,30.8201912,77.2390968,"1556, Himachal Pradesh, India",True
1557,GEN-596F71,30.8201912,77.2390968,"1557, Himachal Pradesh, India",True
1558,GEN-299210,30.8201912,77.2390968,"1558, Himachal Pradesh, India",True
1559,GEN-020C8B,30.8201912,77.2390968,"1559, Himachal Pradesh, India",True
1560,GEN-3A20F6,30.8201912,77.2390968,"1560, Himachal Pradesh, India",True
1561,GEN-B132EC,30.8201912,77.2390968,"1561, Himachal Pradesh, India",True
1562,GEN-92AF93,30.8201912,77.2390968,"1562, Himachal Pradesh, India",True
1872,GEN-2F25F6,30.8201912,77.2390968,"1872, Himachal Pradesh, India",True
1874,GEN-958ADB,30.8201912,77.2390968,"1874, Himachal Pradesh, India",True
1875,GEN-7E9E34,30.8201912,77.2390968,"1875, Himachal Pradesh, India",True
1877,GEN-F31B20,30.8201912,77.2390968,"1877, Himachal Pradesh, India",True
1878,GEN-DC5D63,30.8201912,77.2390968,"1878, Himachal Pradesh, India",True
1879,GEN-44A2E0,30.8201912,77.2390968,"1879, Himachal Pradesh, India",True
1880,GEN-3214A6,30.8201912,77.2390968,"1880, Himachal Pradesh, India",True
1881,GEN-B4568D,30.8201912,77.2390968,"1881, Himachal Pradesh, India",True
1882,GEN-E1314F,30.8201912,77.2390968,"1882, Himachal Pradesh, India",True
1883,GEN-C45008,30.8201912,77.2390968,"1883, Himachal Pradesh, India",True
2628,GEN-8E0651,30.8201912,77.2390968,"2628, Himachal Pradesh, India",True
2629,GEN-8CFF9B,30.8201912,77.2390968,"2629, Himachal Pradesh, India",True
2630,GEN-DD17E6,30.8201912,77.2390968,"2630, Himachal Pradesh, India",True
2631,GEN-E113BB,30.8201912,77.2390968,"2631, Himachal Pradesh, India",True
2632,GEN-75455E,30.8201912,77.2390968,"2632, Himachal Pradesh, India",True
2634,GEN-B75BD2,30.8201912,77.2390968,"2634, Himachal Pradesh, India",True
2635,GEN-ED2779,30.8201912,77.2390968,"2635, Himachal Pradesh, India",True
