stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
3692,Kunduvadakere,Pond/Tank,KARNATAKA,2017,Unsafe,20.23,High BOD,,27.5,6.5,7.75,205.0,2.65,0.7,280.0,885.0
3693,Bhathikere,Pond/Tank,KARNATAKA,2017,Unsafe,42.32,"pH Out of Range, High BOD, High Total Coliform",,27.5,5.75,7.9,500.0,58.5,3.15,50600.0,91700.0
3694,Shanthisagarkere,Pond/Tank,KARNATAKA,2017,Unsafe,21.06,High BOD,,30.0,6.55,7.95,167.0,3.25,0.175,1330.0,3200.0
3695,Kondaggikere,Pond/Tank,KARNATAKA,2017,Unsafe,24.84,"pH Out of Range, High BOD, High Total Coliform",,26.0,6.2,7.4,215.0,4.15,0.095,4900.0,9200.0
3696,Aianakere,Pond/Tank,KARNATAKA,2017,Unsafe,43.09,"pH Out of Range, High BOD, High Total Coliform",,27.5,5.5,8.15,500.0,100.0,2.4,472000.0,845000.0
3697,Mattadakere,Pond/Tank,KARNATAKA,2017,Unsafe,31.06,"pH Out of Range, High BOD, High Total Coliform",,25.75,3.7,8.0,420.0,7.0,0.965,3050.0,6000.0
GEN-D47844,2780,River,KARNATAKA,2017,Unsafe,33.6,High BOD,,,,25.0,17.6,7.35,30.2,47.15,1.51
1182,"Krishna At U/S Of Ugarkhurd Barrage,",River,KARNATAKA,2017,Unsafe,6.57,High Fecal Coliform,27.0,6.25,7.425,700.0,1.5,3.26,600.0,1050.0,
1889,Krishna Ankali Bridge Along Chikkodi Kagwad Road,River,KARNATAKA,2017,Unsafe,7.28,High Fecal Coliform,27.5,6.55,7.6,665.0,1.75,2.3,600.0,1250.0,
1181,"Krishna At D/S Of Narayanpura Dam,",River,KARNATAKA,2017,Unsafe,6.55,High Fecal Coliform,32.0,8.85,7.74,1140.0,1.71,10.89,505.0,920.0,
